DATES,CAR,SGJ,1834,JMMBGL,JSE
44021,6.5,43.13,1.01,31.01,21.52
44022,6.49,43.58,1.01,30.72,21.5
44025,6.48,43.81,1.01,30.7,21.52
44026,6.5,42.91,0.95,30.66,21.5
44028,6.48,43.17,1,31.46,21.51
44035,6.5,45.44,1.01,31.6,21.52
44036,6.49,44.55,1,31.48,21.54
44041,6.49,45,0.95,31.66,21.52
44043,6.5,43.12,0.97,31.31,22
44047,6.75,47.53,0.85,31.53,23.13
44048,6.71,45.47,1,30.97,22.5
44054,6.68,45.33,1.01,31.28,20.38
44056,6.57,47.08,0.99,30.22,19.41
44057,6.47,44.73,0.99,30.27,19.39
44060,6.48,45.13,0.98,30.34,20.05
44061,6.59,46.25,0.96,30.01,19.44
44062,6.58,46.5,0.96,30.4,20.5
44063,6.69,46.23,0.98,30.67,18.84
44064,6.67,45.89,0.96,31.07,20.19
44067,6.49,52.57,0.95,30.47,20.14
44068,6.58,46.14,0.96,30.86,19.36
44069,6.3,47.61,0.96,30.93,19.21
44070,6.5,46.99,0.98,30,18.25
44071,6.3,47.38,0.95,30.02,18.84
44074,6.48,49.98,0.95,30.09,19.01
44075,6.49,46.73,0.98,30.06,20.96
44076,6.49,47.02,0.98,29.79,20.98
44078,6.45,48,0.92,29.97,20.75
44081,6.5,47.06,0.92,29.98,18.56
44082,6.49,47.14,0.92,29.77,19.03
44083,6.5,48.13,0.92,29.33,20.13
44084,6.49,48.02,0.92,29.91,19.44
44085,6.49,50,0.93,29.5,18.79
44088,6.49,49.38,0.93,29.24,19.99
44089,6.47,49.82,0.93,30.14,18.2
44090,6.5,47.84,0.92,29.11,19.18
44091,6.49,47.17,0.93,29.12,19
44092,6.5,50.78,0.93,29.46,18.39
44095,6.49,46.56,0.93,29.39,18.18
44096,6.5,49,0.93,29.19,18.03
44097,6.5,47,0.93,29.3,18.93
44098,6.45,48.76,0.93,29.06,18.5
44099,6.5,48.5,0.93,29.5,18.49
44102,6.5,47.14,0.96,29.74,18.45
44103,6.5,49.9,0.98,28.01,18.45
44104,6.49,49.88,0.98,31,19.85
44105,6.5,49.48,#N/A N/A,29.07,19.07
44106,6.5,49.48,0.95,29.1,18.21
